Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR20308781,7 day old,RNA-Seq,99,2988629366,PRJNA860102,SAMN29828221,1056570975,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16342091,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351319,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:09:00Z,1,GSM6351319,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6HL
SRR20308782,7 day old,RNA-Seq,99,3315266816,PRJNA860102,SAMN29828222,1386178502,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342090,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351318,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:11:00Z,1,GSM6351318,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6HL
SRR20308783,7 day old,RNA-Seq,99,4283661604,PRJNA860102,SAMN29828223,1442385816,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16342089,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351317,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:22:00Z,1,GSM6351317,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6HL
SRR20308790,7 day old,RNA-Seq,99,3356405838,PRJNA860102,SAMN29828230,1125214506,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX16342082,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351310,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:10:00Z,1,GSM6351310,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6LL
SRR20308791,7 day old,RNA-Seq,99,3480959565,PRJNA860102,SAMN29828231,1162553609,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16342081,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351309,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:07:00Z,1,GSM6351309,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6LL
SRR20308792,7 day old,RNA-Seq,98,3692187775,PRJNA860102,SAMN29828232,1232665149,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342080,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351308,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:15:00Z,1,GSM6351308,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t6LL
SRR20308799,7 day old,RNA-Seq,98,3849655120,PRJNA860102,SAMN29828239,1294907794,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16342073,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351301,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:17:00Z,1,GSM6351301,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t0
SRR20308800,7 day old,RNA-Seq,98,3835467830,PRJNA860102,SAMN29828240,1285562314,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342072,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351300,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:16:00Z,1,GSM6351300,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t0
SRR20308801,7 day old,RNA-Seq,99,3389703955,PRJNA860102,SAMN29828241,1182698055,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342071,Col-0 (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351299,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T12:11:00Z,1,GSM6351299,7 day old seedlings (1 replicate = 30 seedlings),SRP387053,seedlings,t0
