Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR20309367,3 weeks old,RNA-Seq,202,11559371018,PRJNA860115,SAMN29828498,3604937724,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX16342662,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351421,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:02:00Z,1,GSM6351421,3 weeks old thallus; entire plants,SRP387070,thallus,t6HL
SRR20309368,3 weeks old,RNA-Seq,202,10688245008,PRJNA860115,SAMN29828499,3344675906,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX16342661,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351420,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:05:00Z,1,GSM6351420,3 weeks old thallus; entire plants,SRP387070,thallus,t6HL
SRR20309369,3 weeks old,RNA-Seq,202,12380652922,PRJNA860115,SAMN29828500,3825899150,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX16342660,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351419,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:02:00Z,1,GSM6351419,3 weeks old thallus; entire plants,SRP387070,thallus,t6HL
SRR20309379,3 weeks old,RNA-Seq,202,9904506016,PRJNA860115,SAMN29828510,3111941506,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342650,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351409,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:11:00Z,1,GSM6351409,3 weeks old thallus; entire plants,SRP387070,thallus,t6LL
SRR20309380,3 weeks old,RNA-Seq,202,9989449440,PRJNA860115,SAMN29828511,3178102001,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16342649,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351408,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:18:00Z,1,GSM6351408,3 weeks old thallus; entire plants,SRP387070,thallus,t6LL
SRR20309381,3 weeks old,RNA-Seq,202,11411292292,PRJNA860115,SAMN29828512,3586176870,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX16342648,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351407,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:39:00Z,1,GSM6351407,3 weeks old thallus; entire plants,SRP387070,thallus,t6LL
SRR20309391,3 weeks old,RNA-Seq,202,10463812100,PRJNA860115,SAMN29828522,3283376969,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX16342638,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351397,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:01:00Z,1,GSM6351397,3 weeks old thallus; entire plants,SRP387070,thallus,t0
SRR20309392,3 weeks old,RNA-Seq,202,12094097540,PRJNA860115,SAMN29828523,3801349576,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16342637,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351396,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:24:00Z,1,GSM6351396,3 weeks old thallus; entire plants,SRP387070,thallus,t0
SRR20309393,3 weeks old,RNA-Seq,202,13295484662,PRJNA860115,SAMN29828524,4128705680,"PLANT SYSTEMS BIOLOGY, SCHOOL OF LIFE SCIENCES, TECHNICAL UNIVERSITY OF MUNICH",missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX16342636,BoGa (WT),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6351395,PAIRED,cDNA,TRANSCRIPTOMIC,Marchantia polymorpha,ILLUMINA,2023-07-26T00:00:00Z,2022-07-19T13:33:00Z,1,GSM6351395,3 weeks old thallus; entire plants,SRP387070,thallus,t0
